,symbol,Industry,P/S
308,GRPN,Internet Content & Information,0.8836038
60,GRUB,Internet Content & Information,0.8174164
266,EBAY,Internet Retail,3.8599763
493,JD,Internet Retail,0.15242594
522,PDD,Internet Retail,2.633954
184,OSTK,Internet Retail,1.3006016
462,VIPS,Internet Retail,0.1259947
548,BABA,Internet Retail,0.80392283
9,AMZN,Internet Retail,4.1956606
114,QRTEA,Internet Retail,0.3732657
604,MELI,Internet Retail,18.418728
565,CHWY,Internet Retail,4.2571836
614,JMIA,Internet Retail,20.294302
103,ETSY,Internet Retail,12.507807
3,W,Internet Retail,2.2231421
559,PTON,Leisure,10.877725
44,HAS,Leisure,2.287438
353,MAT,Leisure,1.3911505
766,HLT,Lodging,21.53671
646,HTHT,Lodging,3.3597531
99,MAR,Lodging,21.329504
381,H,Lodging,10.439737
174,STAY,Lodging,3.5392075
651,TPR,Luxury Goods,2.462507
558,TIF,Luxury Goods,0
415,HCA,Medical Care Facilities,1.2646146
411,CYH,Medical Care Facilities,0.16572198
550,DVA,Medical Care Facilities,1.1203655
695,FVE,Medical Care Facilities,0.7850263
471,NUVA,Medical Devices,3.3074646
444,SYK,Medical Devices,6.5260143
335,ABT,Medical Devices,5.2503223
519,MDT,Medical Devices,5.948674
530,ZBH,Medical Devices,4.7007365
609,ALGN,Medical Devices,16.909086
777,EW,Medical Devices,13.992459
624,TRXC,Medical Devices,0
589,BIO,Medical Devices,6.7423124
395,BSX,Medical Devices,6.0390773
755,CAH,Medical Distribution,0.10386917
293,HSIC,Medical Distribution,1.0547284
488,PBH,Medical Distribution,2.7105417
773,ISRG,Medical Instruments & Supplies,22.86716
414,HOLX,Medical Instruments & Supplies,3.017142
591,RMD,Medical Instruments & Supplies,11.177955
404,BDX,Medical Instruments & Supplies,3.7088888
590,TFX,Medical Instruments & Supplies,7.3006306
485,BAX,Medical Instruments & Supplies,3.4391553
165,DO,Oil & Gas Drilling,0
610,NBR,Oil & Gas Drilling,0
654,PTEN,Oil & Gas Drilling,1.9549841
623,WLL,Oil & Gas E&P,0
202,AR,Oil & Gas E&P,1.0309658
626,OVV,Oil & Gas E&P,1.2156091
634,CRC,Oil & Gas E&P,0
142,MRO,Oil & Gas E&P,3.1737077
148,MUR,Oil & Gas E&P,2.0314732
638,NBL,Oil & Gas E&P,0
23,XEC,Oil & Gas E&P,4.266549
25,EOG,Oil & Gas E&P,4.659567
235,OAS,Oil & Gas E&P,0
218,QEP,Oil & Gas E&P,0
151,APA,Oil & Gas E&P,1.5710833
155,CDEV,Oil & Gas E&P,0
11,CXO,Oil & Gas E&P,0
613,PXD,Oil & Gas E&P,4.7769217
181,PE,Oil & Gas E&P,0
117,MTDR,Oil & Gas E&P,4.0646486
222,CNX,Oil & Gas E&P,2.3683686
167,TELL,Oil & Gas E&P,0
220,CPE,Oil & Gas E&P,0
631,DVN,Oil & Gas E&P,4.021024
34,CLR,Oil & Gas E&P,4.5150633
126,SM,Oil & Gas E&P,2.1161246
232,WPX,Oil & Gas E&P,0
97,COG,Oil & Gas E&P,4.06359
271,KOS,Oil & Gas E&P,0
286,SWN,Oil & Gas E&P,1.2041539
77,EQT,Oil & Gas E&P,1.7825192
36,OXY,Oil & Gas E&P,1.4670993
