;0
TSU;38,194665069287645
IRBT;40,22476097799674
MOMO;40,58315481792699
FEYE;41,47626075747294
GE;42,301860531766174
AGNC;43,97278650114715
NTRS;44,10221638142773
JBHT;44,53072022480138
HBAN;44,6501597072686
UMC;44,99377511960152
AXTA;47,28650593768311
LNG;48,675033504250145
ANET;49,897147468643915
ENIA;51,000015592517464
GM;51,20209888024409
FLEX;52,293411399018865
TD;53,67979712866363
EPD;55,36197194639156
BA;58,41383117408978
NYCB;61,37022918322765
CYH;61,65816318068451
SLM;63,12696303968859
VST;63,92773489546216
JEF;69,9083865400276
AIG;70,33046811805195
DLTR;72,48266450229887
KEY;85,95361444575387
IPG;86,61789720840123
TWO;95,01897786470002
KNX;96,81770397983
BMRN;101,14075525312346
GES;102,46334521291612
HTHT;109,64239363714483
CAH;110,15897417925618
TFC;112,28844532338118
HES;114,59970083391208
CLF;126,25034024527102
NVDA;139,3401775031421
EXPE;146,44132726219522
ALGN;150,92394651863773
PFPT;155,22111818546466
HPQ;162,7701767433676
SPOT;184,03955495703386
BSBR;188,67218747954
CNP;203,96448927798366
FL;268,9653356087814
MGM;277,09568894782467
SYF;343,7955977682408
MBT;444,4576922268821
AL;693,2854554604231
NBEV;1002,628602656118
MAT;2040,7399338783855
GLW;2284,4986201932875
HWM;inf
SBSW;inf
AABA;
ARNC;
BFB;
BID;
BMYRT;
BRKB;
CARR;
OTIS;
